"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_othr_1_rcd","ho_othr_2_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_NoNghbr","san_fac_NA","wp_prblm_taste_rcd_na","wp_prblm_smell_rcd_na","wp_prblm_color_rcd_na","wp_prblm_cloudy_rcd_na","ho_diar_rcd_na","ho_typh_rcd_na","ho_malr_rcd_na","ho_dysn_rcd_na","ho_resp_rcd_na","ho_skin_rcd_na","ho_eyin_rcd_na","ho_wrms_rcd_na","ho_othr_1_rcd_na","ho_othr_2_rcd_na","ho_dk_rcd_na","fnct_wp","fnct_wp_na","fnct_wp_tt","strd_fees_sum","strd_fees_none","fnct_wq","fnct_wq_na","fnct_wq_tt","tst_rslt_elec_amt","tst_rslt_elec_amt_na","tst_rslt_elec_amt_tt","tst_rslt_temp_amt","tst_rslt_temp_amt_na","tst_rslt_temp_amt_tt","tst_rslt_trbd_amt","tst_rslt_trbd_amt_na","tst_rslt_trbd_amt_tt","tst_rslt_nitrite_amt","tst_rslt_nitrite_amt_na","tst_rslt_nitrite_amt_tt","tst_rslt_nitrate_amt","tst_rslt_nitrate_amt_na","tst_rslt_nitrate_amt_tt","tst_rslt_fl_amt","tst_rslt_fl_amt_na","tst_rslt_fl_amt_tt","tst_rslt_arsnc_amt","tst_rslt_arsnc_amt_na","tst_rslt_arsnc_amt_tt","tst_rslt_ecoli_amt","tst_rslt_ecoli_amt_na","tst_rslt_ecoli_amt_tt","tst_rslt_fcoli_amt","tst_rslt_fcoli_amt_na","tst_rslt_fcoli_amt_tt","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
"827036","m",2016-03-02,"1","0","01",1,9,53,0,0,0,0,2,1,3,0,3,1,3,2,0,0,0,7,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0,2,62000,0,2,0,3,563.3,0,3,21,2,1,10,0,3,NA,3,0,NA,3,0,NA,3,0,NA,3,0,0,1,2,19,2,1,1,0,0,0
"827043","b",2012-10-09,"1","0","01",1,44,233,44,0,0,0,6,0,0,0,0,5,0,0,0,0,0,14,16,0,14,0,0,10,1,33,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827043","m",2015-10-30,"1","0","01",1,10,79,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1,0,1,25000,0,2,0,2,120,1,1,26.6,1,1,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,45,1,1,1,0,0,0
"827050","b",2012-09-25,"1","0","01",1,44,220,0,0,44,0,19,0,6,0,0,0,0,0,0,0,0,0,30,0,14,0,0,15,6,23,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827050","m",2015-11-11,"1","0","01",1,39,212,13,24,0,0,13,3,28,0,9,0,0,7,0,0,1,21,18,0,0,0,0,7,0,6,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,2,0,3,10000,0,3,0,3,542,1,2,27.6,2,1,0,0,3,NA,3,0,NA,3,0,NA,3,0,NA,3,0,1004,1,2,23,2,1,0,0,0,1
"827067","b",2012-09-24,"1","0","01",1,24,154,0,0,24,0,2,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,6,4,14,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827067","m",2015-11-27,"1","0","01",1,8,42,0,0,0,0,0,2,2,0,3,3,2,2,1,0,0,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.5,0,2,50000,0,2,0,2,80,1,1,28.1,1,1,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,34,1,1,1,0,0,0
"827081","m",2016-11-23,"0","0","00",1,26,165,0,0,0,0,0,2,12,0,9,6,2,4,0,0,0,10,16,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,2.5,0,3,50000,0,2,0,2,269.8,0,2,49.3,0,2,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,0,1,1,1,0,0,0
"827098","b",2012-09-27,"1","0","01",1,46,222,0,0,22,0,12,0,8,0,0,5,0,0,0,0,0,16,30,0,0,0,0,8,13,25,0,0,0,24,24,24,24,26,26,26,26,26,26,26,26,26,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827098","m",2016-03-03,"1","0","01",1,9,38,0,0,0,0,0,2,5,0,2,3,0,1,0,0,0,3,6,0,0,0,0,0,1,1,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.5,0,1,13000,0,2,0,2,45,1,1,26.5,1,1,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,41,1,1,1,0,0,0
