"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_.NoNghbr","func_wp","func_wq","strd_fees","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
826080,"b","2015-02-06",1,1,"11",1,48,225,0,0,0,0,0.0208333333333333,0,0.145833333333333,0,0.0833333333333333,0,0.0208333333333333,0,0,0.416666666666667,0.583333333333333,0,0,0,0,0,0.0416666666666667,0.145833333333333,0.729166666666667,0.0833333333333333,0,0,0,0,0,0,0
826080,"m","2016-11-16",1,1,"11",1,29,152,0,0,0,0.241379310344828,0.0344827586206897,0.103448275862069,0.379310344827586,0,0.241379310344828,0.103448275862069,0.0689655172413793,0.0344827586206897,0.0689655172413793,0.206896551724138,0.793103448275862,0,0,0,0,0,0.0344827586206897,0.0344827586206897,0.793103448275862,0.137931034482759,1,1,17000,1,0,0,0
826097,"b","2009-01-07",1,0,"01",1,48,243,0.125,0.0833333333333333,0.333333333333333,0,0.8125,0,0.270833333333333,0,0.770833333333333,0,0,0.770833333333333,0,0.0625,0.5,0,0.4375,0,0,0.354166666666667,0.0208333333333333,0.625,0,0,0,0,0,0,0,0,0
826097,"m","2015-08-29",1,0,"01",1,8,67,0,0,0,0,0,0,0.5,0,0.375,0,0,0,0.125,0.625,0.375,0,0,0,0,0,0,0.375,0.5,0.125,1,1,382000,1,0,0,0
826107,"b","2009-03-07",1,0,"01",1,81,518,0,0,0.814814814814815,0,0.580246913580247,0,0.308641975308642,0,0.864197530864197,0.0123456790123457,0.037037037037037,0.864197530864197,0,0.0493827160493827,0.296296296296296,0.0740740740740741,0.506172839506173,0.0740740740740741,0,0.320987654320988,0.0864197530864197,0.592592592592593,0,0,0,0,0,0,0,0,0
826107,"m","2015-10-30",1,0,"01",1,26,144,0,0,0,0,0.0384615384615385,0.0769230769230769,0.961538461538462,0,0,0.192307692307692,0.0384615384615385,0.153846153846154,0,0.461538461538462,0.538461538461538,0,0,0,0,0,0,0.269230769230769,0.423076923076923,0.307692307692308,0.666666666666667,1,0,0,1,0,0
826114,"b","2009-09-09",1,0,"01",1,58,314,0.0344827586206897,0.224137931034483,0.637931034482759,0,0.224137931034483,0,0,0,0.241379310344828,0,0,0.241379310344828,0,0.0172413793103448,0.637931034482759,0,0.344827586206897,0,0,0.327586206896552,0.0862068965517241,0.586206896551724,0,0,0,0,0,0,0,0,0
826114,"m","2015-12-09",1,0,"01",1,10,49,0,0,0,0,0.1,0.3,0.5,0,0.4,0.4,0.1,0.3,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0.75,0.666666666666667,70000,1,0,0,0
826121,"b","2009-01-10",1,0,"01",1,31,131,0,0.129032258064516,0.870967741935484,0,0.225806451612903,0,0.32258064516129,0,0.161290322580645,0,0.0967741935483871,0.161290322580645,0,0,0.483870967741935,0,0.516129032258065,0,0,0.354838709677419,0.0967741935483871,0.548387096774194,0,0,0,0,0,0,0,0,0
826121,"m","2016-05-27",1,0,"01",1,11,82,0,0,0,0,0.181818181818182,0.181818181818182,0.454545454545455,0,0.272727272727273,0.272727272727273,0.0909090909090909,0.181818181818182,0,0.363636363636364,0.636363636363636,0,0,0,0,0,0.0909090909090909,0.545454545454545,0.363636363636364,0,0.75,1,42000,0,0,1,0
826138,"b","2009-06-10",1,0,"01",1,52,241,0,0.230769230769231,0.711538461538462,0,0.192307692307692,0,0,0,0.25,0.0192307692307692,0,0.25,0,0.211538461538462,0.461538461538462,0,0.326923076923077,0,0,0.211538461538462,0.0576923076923077,0.711538461538462,0.0192307692307692,0,0,0,0,0,0,0,0
826138,"m","2016-11-22",1,0,"01",1,22,131,0,0,0,0,0.0454545454545455,0.0909090909090909,0.318181818181818,0,0.454545454545455,0.181818181818182,0,0,0.136363636363636,0.363636363636364,0.636363636363636,0,0,0,0,0,0.0454545454545455,0.0909090909090909,0.818181818181818,0.0454545454545455,0.833333333333333,1,465000,1,0,0,0
826145,"m","2015-12-17",0,0,"00",1,10,76,0,0,0,0,0,0,0.6,0,0,0,0.1,0.1,0.2,0.3,0.7,0,0,0,0,0,0,0.3,0.7,0,1,0.5,220000,1,0,0,0
826152,"b","2009-10-30",1,0,"01",1,33,176,0.0303030303030303,0.242424242424242,0.696969696969697,0,0.272727272727273,0,0,0,0.424242424242424,0,0,0.424242424242424,0,0.121212121212121,0.454545454545455,0,0.424242424242424,0,0,0.242424242424242,0.212121212121212,0.545454545454545,0,0,0,0,0,0,0,0,0
826152,"m","2016-11-24",1,0,"01",1,22,153,0,0,0,0,0,0,0.954545454545455,0,0.0454545454545455,0,0.0454545454545455,0,0,0.909090909090909,0.0909090909090909,0,0,0,0,0,0,0.272727272727273,0.727272727272727,0,0.666666666666667,1,35000,1,0,0,0
826169,"b","2009-02-11",1,0,"01",1,48,231,0,0.375,0.458333333333333,0,0.270833333333333,0,0,0,0.416666666666667,0,0,0.416666666666667,0,0.166666666666667,0.270833333333333,0.0625,0.479166666666667,0.0208333333333333,0,0.104166666666667,0.0833333333333333,0.8125,0,0,0,0,0,0,0,0,0
826169,"m","2016-05-25",1,0,"01",1,21,100,0,0,0,0,0.0476190476190476,0.238095238095238,0.428571428571429,0,0.571428571428571,0.19047619047619,0.142857142857143,0.0952380952380952,0,0.571428571428571,0.428571428571429,0,0,0,0,0,0.0476190476190476,0.0476190476190476,0.714285714285714,0.19047619047619,1,1,45000,1,0,0,0
826176,"b","2009-11-24",1,0,"01",1,64,378,0,0,0.234375,0,0.171875,0,0,0,0.21875,0,0,0.21875,0,0.078125,0.390625,0.140625,0.390625,0,0,0.171875,0.34375,0.484375,0,0,0,0,0,0,0,0,0
826176,"m","2015-12-10",1,0,"01",1,10,65,0,0,0,0,0,0,0.8,0,0.2,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0.3,0.6,0.1,0.75,0.666666666666667,101000,1,0,0,0
826183,"b","2009-01-12",1,0,"01",1,50,212,0,0,1,0,0.22,0,0,0,0.42,0,0,0.42,0,0.06,0.38,0,0.56,0,0,0.52,0.2,0.28,0,0,0,0,0,0,0,0,0
826183,"m","2016-03-10",1,0,"01",1,10,50,0,0,0,0,0,0.2,0.5,0,0.3,0.1,0.2,0.2,0,0.3,0.7,0,0,0,0,0,0.3,0.1,0.6,0,0.75,1,0,0,0,1,0
826190,"b","2010-01-02",1,0,"01",1,60,373,0,0,0.716666666666667,0,0.1,0,0.0333333333333333,0,0.2,0,0.05,0.2,0,0.133333333333333,0.666666666666667,0,0.2,0,0,0.15,0.216666666666667,0.633333333333333,0,0,0,0,0,0,0,0,0
826190,"m","2016-05-16",1,0,"01",1,9,51,0,0,0,0,0,0,0.222222222222222,0,0.333333333333333,0.444444444444444,0.111111111111111,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.111111111111111,0.777777777777778,0.111111111111111,0.75,1,205000,1,0,0,0
826200,"m","2016-03-23",0,0,"00",1,10,94,0,0,0,0,0,0,0.8,0,0.5,0.1,0.2,0.1,0.1,0.2,0.8,0,0,0,0,0,0,0.5,0.5,0,0.75,1,80000,1,0,0,0
826217,"m","2016-03-31",0,0,"00",1,10,55,0,0,0,0,0,0.2,0.7,0,0.5,0.1,0.1,0,0,0.6,0.4,0,0,0,0,0,0.1,0,0.9,0,0.75,1,254000,1,0,0,0
826224,"b","2010-11-02",1,0,"01",1,54,304,0,0.0925925925925926,0.462962962962963,0,0.0925925925925926,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.0925925925925926,0.314814814814815,0.037037037037037,0.555555555555556,0,0,0.259259259259259,0.148148148148148,0.574074074074074,0.0185185185185185,0,0,0,0,0,0,0,0
826224,"m","2016-03-23",1,0,"01",1,10,70,0.4,0.5,0.1,0.2,0.2,0.3,0.5,0,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0,0.8,0,0,0,0,0.1,0.9,0,0.5,0.666666666666667,155000,0,1,0,0
826231,"b","2010-02-15",1,0,"01",1,51,269,0,0,0.647058823529412,0,0.137254901960784,0,0,0,0.372549019607843,0,0,0.372549019607843,0,0.0784313725490196,0.0980392156862745,0.274509803921569,0.549019607843137,0,0,0.294117647058824,0.176470588235294,0.529411764705882,0,0,0,0,0,0,0,0,0
826231,"m","2016-03-31",1,0,"01",1,9,47,0,0,0,0,0,0.222222222222222,0.333333333333333,0,0.333333333333333,0.444444444444444,0.111111111111111,0.222222222222222,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0.222222222222222,0,0.666666666666667,0.111111111111111,0.75,0.75,80000,0,0,0,1
826248,"b","2010-03-17",1,0,"01",1,50,290,0,0,1,0,0.22,0,0,0,0.18,0,0,0.18,0,0,0.28,0,0.72,0,0,0.42,0.28,0.3,0,0,0,0,0,0,0,0,0
826248,"m","2016-04-12",1,0,"01",1,9,46,0,0,0,0,0,0.222222222222222,0.333333333333333,0,0.555555555555556,0.333333333333333,0,0.333333333333333,0,0.777777777777778,0.222222222222222,0,0,0,0,0,0,0,0.888888888888889,0.111111111111111,0.75,1,20000,1,0,0,0
826255,"b","2010-04-03",1,0,"01",1,40,194,0,0,0.8,0,0.15,0,0,0,0.325,0,0,0.325,0,0.075,0.7,0.05,0.175,0,0,0.125,0.2,0.675,0,0,0,0,0,0,0,0,0
826255,"m","2016-07-22",1,0,"01",1,18,104,0,0,0,0.166666666666667,0,0.111111111111111,0.388888888888889,0,0.444444444444444,0.166666666666667,0.222222222222222,0.166666666666667,0,0.5,0.5,0,0,0,0,0,0,0.166666666666667,0.722222222222222,0.111111111111111,0.833333333333333,0.666666666666667,210000,1,0,0,0
826262,"b","2010-05-21",1,0,"01",1,56,306,0,0.0535714285714286,0.946428571428571,0,0.196428571428571,0,0,0,0.285714285714286,0,0,0.285714285714286,0,0.0178571428571429,0.178571428571429,0.0535714285714286,0.75,0,0,0.392857142857143,0.0357142857142857,0.571428571428571,0,0,0,0,0,0,0,0,0
826262,"m","2016-05-17",1,0,"01",1,21,148,0,0,0,0,0,0.0952380952380952,0.523809523809524,0,0.238095238095238,0.0952380952380952,0,0,0.0952380952380952,0.142857142857143,0.857142857142857,0,0,0,0,0,0,0.0952380952380952,0.761904761904762,0.142857142857143,0.833333333333333,1,385000,0,0,1,0
826279,"b","2011-01-12",0,0,"00",1,67,355,0,0,1,0,0.358208955223881,0,0,0,0,0.104477611940299,0,0,0,0,0.805970149253731,0,0.194029850746269,0,0,0.477611940298507,0.0149253731343284,0.507462686567164,0,0,0,0,0,0,0,0,0
826286,"b","2010-06-21",1,0,"01",1,45,216,0.0222222222222222,0.111111111111111,0.866666666666667,0,0.266666666666667,0,0,0,0.444444444444444,0.133333333333333,0,0.444444444444444,0,0.177777777777778,0.444444444444444,0.0888888888888889,0.288888888888889,0,0,0.266666666666667,0.133333333333333,0.6,0,0,0,0,0,0,0,0,0
826286,"m","2016-11-24",1,0,"01",1,18,84,0,0,0,0,0.0555555555555556,0.0555555555555556,0.833333333333333,0,0,0.166666666666667,0,0.166666666666667,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0.0555555555555556,0.111111111111111,0.666666666666667,0.166666666666667,0.833333333333333,1,82500,0,0,1,0
826293,"b","2010-05-07",1,0,"01",1,44,250,0.0227272727272727,0.0454545454545455,0.409090909090909,0,0.0681818181818182,0,0,0,0.477272727272727,0,0,0.477272727272727,0,0.0454545454545455,0.431818181818182,0.0454545454545455,0.477272727272727,0,0,0.136363636363636,0.159090909090909,0.704545454545455,0,0,0,0,0,0,0,0,0
826293,"m","2016-06-07",1,0,"01",1,11,85,0,0,0,0,0.181818181818182,0.181818181818182,0.272727272727273,0.0909090909090909,0.363636363636364,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0.818181818181818,0.181818181818182,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.727272727272727,0,1,1,44000,1,0,0,0
